date,year,month,open,high,low,close,volume,id
29-07-2005 0:00,2005,7,43.56,506.5,42.26,42.65,20133851,2155
28-07-2005 0:00,2005,7,43.85,506.5,43.3,43.8,9102490,2156
27-07-2005 0:00,2005,7,43.83,506.5,42.67,43.99,10137253,2157
26-07-2005 0:00,2005,7,44.01,506.5,43.36,43.63,9635024,2158
25-07-2005 0:00,2005,7,43.99,506.5,43.73,43.81,10547273,2159
22-07-2005 0:00,2005,7,43.44,506.5,43.39,44,10779774,2160
21-07-2005 0:00,2005,7,43.7,506.5,42.9,43.29,14490568,2161
20-07-2005 0:00,2005,7,42.86,506.5,42.65,43.63,16287501,2162
19-07-2005 0:00,2005,7,41.52,506.5,41.07,43.19,24018412,2163
18-07-2005 0:00,2005,7,41.41,506.5,41.37,41.49,20993499,2164
15-07-2005 0:00,2005,7,40.97,506.5,40.46,41.55,24580334,2165
14-07-2005 0:00,2005,7,40.79,506.5,40.23,40.75,74874406,2166
13-07-2005 0:00,2005,7,38.29,506.5,37.9,38.35,28154770,2167
12-07-2005 0:00,2005,7,38.23,506.5,37.91,38.24,13875222,2168
11-07-2005 0:00,2005,7,38.37,506.5,37.78,38.1,14143099,2169
08-07-2005 0:00,2005,7,37.87,506.5,37.47,38.25,10389757,2170
07-07-2005 0:00,2005,7,36.81,506.5,36.8,37.63,13726918,2171
06-07-2005 0:00,2005,7,37.71,506.5,37.2,37.39,14262019,2172
05-07-2005 0:00,2005,7,36.55,506.5,36.5,37.98,16279061,2173
01-07-2005 0:00,2005,7,36.83,506.5,36.29,36.5,8958138,2174
30-06-2005 0:00,2005,6,36.61,506.5,36.31,36.81,14942855,2175
28-06-2005 0:00,2005,6,37.5,506.5,37.17,37.31,12558296,2177
27-06-2005 0:00,2005,6,36.84,506.5,36.68,37.1,21489971,2178
24-06-2005 0:00,2005,6,39.09,506.5,37.68,37.76,16506404,2179
23-06-2005 0:00,2005,6,38.83,506.5,38.65,38.89,24097385,2180
22-06-2005 0:00,2005,6,38.26,506.5,38.14,38.55,15346893,2181
21-06-2005 0:00,2005,6,37.72,506.5,37.38,37.86,13256117,2182
20-06-2005 0:00,2005,6,37.85,506.5,37.45,37.61,11618279,2183
17-06-2005 0:00,2005,6,38.47,506.5,37.83,38.31,21479112,2184
16-06-2005 0:00,2005,6,37.19,506.5,36.82,37.98,19797993,2185
15-06-2005 0:00,2005,6,36.87,506.5,36.3,37.13,20241382,2186
14-06-2005 0:00,2005,6,35.92,506.5,35.75,36,12612070,2187
13-06-2005 0:00,2005,6,35.89,506.5,35.82,35.9,15571901,2188
10-06-2005 0:00,2005,6,37.4,506.5,35.52,35.81,24260902,2189
09-06-2005 0:00,2005,6,37,506.5,36.82,37.65,13954089,2190
08-06-2005 0:00,2005,6,36.63,506.5,36.57,36.92,14760485,2191
07-06-2005 0:00,2005,6,37.6,506.5,36.45,36.54,26680808,2192
06-06-2005 0:00,2005,6,38.33,506.5,37.56,37.92,29011743,2193
03-06-2005 0:00,2005,6,38.16,506.5,37.77,38.24,34199602,2194
02-06-2005 0:00,2005,6,40.05,506.5,39.6,40.04,13368951,2195
01-06-2005 0:00,2005,6,39.89,506.5,39.86,40.3,16264511,2196
31-05-2005 0:00,2005,5,40.66,506.5,39.58,39.76,14470443,2197
27-05-2005 0:00,2005,5,40.64,506.5,40.01,40.56,11291435,2198
26-05-2005 0:00,2005,5,39.94,506.5,38.8,40.74,18780023,2199
25-05-2005 0:00,2005,5,39.5,506.5,39.32,39.78,14835087,2200
24-05-2005 0:00,2005,5,39.45,506.5,39.03,39.7,21231667,2201
23-05-2005 0:00,2005,5,37.85,506.5,37.85,39.76,37295841,2202
20-05-2005 0:00,2005,5,37.25,506.5,37.19,37.55,16181023,2203
19-05-2005 0:00,2005,5,35.78,506.5,35.78,37.55,28386400,2204
18-05-2005 0:00,2005,5,35.45,506.5,34.99,35.84,22747010,2205
17-05-2005 0:00,2005,5,35.14,506.5,34.54,35.36,21079186,2206
16-05-2005 0:00,2005,5,34.56,506.5,34.53,35.55,17054118,2207
13-05-2005 0:00,2005,5,34.2,506.5,34.07,34.77,25190280,2208
12-05-2005 0:00,2005,5,35.42,506.5,34,34.13,34684329,2209
11-05-2005 0:00,2005,5,35.2,506.5,33.11,35.61,73270796,2210
10-05-2005 0:00,2005,5,36.75,506.5,36.33,36.42,16030201,2211
09-05-2005 0:00,2005,5,37.28,506.5,36.75,36.97,12704692,2212
06-05-2005 0:00,2005,5,36.89,506.5,36.79,37.24,11663730,2213
05-05-2005 0:00,2005,5,37.25,506.5,36.47,36.68,13853022,2214
04-05-2005 0:00,2005,5,36.11,506.5,36.1,37.15,16400068,2215
03-05-2005 0:00,2005,5,36.4,506.5,36.03,36.21,17753358,2216
02-05-2005 0:00,2005,5,36.21,506.5,36.02,36.43,16651221,2217
29-04-2005 0:00,2005,4,36.15,506.5,35.22,36.06,24010333,2218
28-04-2005 0:00,2005,4,36.29,506.5,35.24,35.54,20616996,2219
27-04-2005 0:00,2005,4,35.89,506.5,35.51,35.95,21950031,2220
26-04-2005 0:00,2005,4,36.78,506.5,36.12,36.19,29075723,2221
25-04-2005 0:00,2005,4,36.49,506.5,36.11,36.98,26702226,2222
22-04-2005 0:00,2005,4,36.84,506.5,34.9,35.5,29992443,2223
21-04-2005 0:00,2005,4,36.4,506.5,35.9,37.18,27284471,2224
20-04-2005 0:00,2005,4,37.66,506.5,35.44,35.51,34148905,2225
19-04-2005 0:00,2005,4,36.6,506.5,35.87,37.09,38832927,2226
18-04-2005 0:00,2005,4,35,506.5,34,35.62,47415193,2227
15-04-2005 0:00,2005,4,36.62,506.5,35.28,35.35,61798220,2228
14-04-2005 0:00,2005,4,38.81,506.5,36.84,37.26,98538508,2229
13-04-2005 0:00,2005,4,42.95,506.5,40.39,41.04,50966206,2230
12-04-2005 0:00,2005,4,42.49,506.5,42.01,42.66,35120348,2231
11-04-2005 0:00,2005,4,44.15,506.5,41.91,41.92,29432464,2232
08-04-2005 0:00,2005,4,43.7,506.5,43.54,43.74,23231217,2233
07-04-2005 0:00,2005,4,42.33,506.5,42.25,43.56,18141357,2234
06-04-2005 0:00,2005,4,42.4,506.5,42.15,42.33,14847608,2235
05-04-2005 0:00,2005,4,41.22,506.5,41.09,41.89,19949791,2236
04-04-2005 0:00,2005,4,40.99,506.5,40.16,41.09,20723211,2237
01-04-2005 0:00,2005,4,42.09,506.5,40.57,40.89,22948457,2238
31-03-2005 0:00,2005,3,42.45,506.5,41.59,41.67,22749475,2239
30-03-2005 0:00,2005,3,42.07,506.5,41.82,42.8,14134914,2240
29-03-2005 0:00,2005,3,42.56,506.5,41.5,41.75,16539814,2241
28-03-2005 0:00,2005,3,42.75,506.5,42.47,42.53,9917320,2242
24-03-2005 0:00,2005,3,42.91,506.5,42.5,42.5,12616565,2243
23-03-2005 0:00,2005,3,42.45,506.5,42.02,42.55,21810767,2244
22-03-2005 0:00,2005,3,43.71,506.5,42.68,42.83,19708297,2245
21-03-2005 0:00,2005,3,43.29,506.5,42.86,43.7,19330878,2246
18-03-2005 0:00,2005,3,43.33,506.5,42.5,42.96,34887342,2247
17-03-2005 0:00,2005,3,41.53,506.5,41.32,42.25,28678615,2248
16-03-2005 0:00,2005,3,41.21,506.5,40.78,41.18,25003619,2249
15-03-2005 0:00,2005,3,40.64,506.5,40.25,40.96,18297471,2250
14-03-2005 0:00,2005,3,40.52,506.5,39.52,40.32,21621272,2251
11-03-2005 0:00,2005,3,40.21,506.5,39.8,40.27,22601228,2252
10-03-2005 0:00,2005,3,39.53,506.5,39.1,39.83,27764979,2253
09-03-2005 0:00,2005,3,39.64,506.5,38.83,39.35,47234214,2254
08-03-2005 0:00,2005,3,41.9,506.5,40.1,40.53,36481506,2255
07-03-2005 0:00,2005,3,42.8,506.5,42.35,42.75,16108114,2256
04-03-2005 0:00,2005,3,42.76,506.5,41.85,42.81,27022099,2257
03-03-2005 0:00,2005,3,44.37,506.5,41.22,41.79,50455212,2258
02-03-2005 0:00,2005,3,44.25,506.5,44.08,44.12,16374329,2259
01-03-2005 0:00,2005,3,44.99,506.5,44.16,44.5,16765290,2260
28-02-2005 0:00,2005,2,44.68,506.5,43.96,44.86,23325179,2261
25-02-2005 0:00,2005,2,44.81,506.5,44.1,44.5,32712312,2262
24-02-2005 0:00,2005,2,44.24,506.5,43.86,44.46,54496574,2263
23-02-2005 0:00,2005,2,43.36,506.5,42.78,44.12,48063490,2264
22-02-2005 0:00,2005,2,43.15,506.5,42.64,42.64,43577908,2265
18-02-2005 0:00,2005,2,43.87,506.5,43.12,43.4,41573826,2266
17-02-2005 0:00,2005,2,45.32,506.5,43.72,43.9,54338622,2267
16-02-2005 0:00,2005,2,44.08,506.5,43.68,45.06,58578908,2268
15-02-2005 0:00,2005,2,43.33,506.5,43,44.2,82979720,2269
14-02-2005 0:00,2005,2,41.36,506.5,41.02,42.32,45448024,2270
11-02-2005 0:00,2005,2,39.93,506.5,39.47,40.6,42951542,2271
10-02-2005 0:00,2005,2,39.36,506.5,38.33,39.18,39059326,2272
09-02-2005 0:00,2005,2,40.52,506.5,39.05,39.37,42646312,2273
08-02-2005 0:00,2005,2,39.54,506.5,39.4,40.45,31799010,2274
07-02-2005 0:00,2005,2,39.46,506.5,38.75,39.47,18799876,2275
04-02-2005 0:00,2005,2,38.94,506.5,38.76,39.42,20131550,2276
03-02-2005 0:00,2005,2,39.55,506.5,38.66,38.9,26178082,2277
02-02-2005 0:00,2005,2,38.98,506.5,38.84,39.82,36592246,2278
01-02-2005 0:00,2005,2,38.52,506.5,38.29,38.76,24280130,2279
31-01-2005 0:00,2005,1,37.29,506.5,37.26,38.45,60159238,2280
28-01-2005 0:00,2005,1,36.31,506.5,36.22,36.99,28649096,2281
27-01-2005 0:00,2005,1,36.08,506.5,35.78,36.32,17741328,2282
26-01-2005 0:00,2005,1,36.34,506.5,35.61,36.12,26587106,2283
25-01-2005 0:00,2005,1,35.7,506.5,35.47,36.02,34654128,2284
24-01-2005 0:00,2005,1,35.49,506.5,35.28,35.38,30132114,2285
21-01-2005 0:00,2005,1,35.61,506.5,35,35.24,32577442,2286
20-01-2005 0:00,2005,1,34.82,506.5,34.74,35.23,32698294,2287
19-01-2005 0:00,2005,1,35.24,506.5,34.88,34.94,27043098,2288
18-01-2005 0:00,2005,1,34.87,506.5,34.6,35.32,35987022,2289
14-01-2005 0:00,2005,1,35.1,506.5,34.6,35.1,63263900,2290
13-01-2005 0:00,2005,1,36.82,506.5,34.86,34.9,113201902,2291
12-01-2005 0:00,2005,1,32.68,506.5,31.65,32.73,72499404,2292
11-01-2005 0:00,2005,1,34.13,506.5,32.07,32.28,93433850,2293
10-01-2005 0:00,2005,1,34.95,506.5,33.94,34.48,62036980,2294
07-01-2005 0:00,2005,1,32.5,506.5,32.38,34.62,79847536,2295
06-01-2005 0:00,2005,1,32.34,506.5,31.66,32.28,25209928,2296
05-01-2005 0:00,2005,1,32.18,506.5,32.02,32.25,24315752,2297
04-01-2005 0:00,2005,1,31.9,506.5,31.48,31.97,39216476,2298
03-01-2005 0:00,2005,1,32.39,506.5,31.3,31.64,24764862,2299
31-12-2004 0:00,2004,12,32.44,506.5,32.02,32.2,10117644,2300
30-12-2004 0:00,2004,12,32.4,506.5,32.11,32.4,12380570,2301
29-12-2004 0:00,2004,12,31.9,506.5,31.78,32.22,16063860,2302
28-12-2004 0:00,2004,12,31.65,506.5,31.02,32.09,21859486,2303
27-12-2004 0:00,2004,12,32.4,506.5,31.44,31.58,20003100,2304
23-12-2004 0:00,2004,12,31.88,506.5,31.8,32,8784198,2305
22-12-2004 0:00,2004,12,31.83,506.5,31.7,31.88,20221772,2306
21-12-2004 0:00,2004,12,31.78,506.5,30.8,31.84,38078708,2307
20-12-2004 0:00,2004,12,32.74,506.5,30.88,31.36,41727264,2308
17-12-2004 0:00,2004,12,33.42,506.5,32.45,32.5,29630608,2309
16-12-2004 0:00,2004,12,33.12,506.5,33.02,33.3,40256282,2310
15-12-2004 0:00,2004,12,32.62,506.5,32.33,32.63,14237586,2311
14-12-2004 0:00,2004,12,32.67,506.5,32.51,32.64,14866158,2312
13-12-2004 0:00,2004,12,32.87,506.5,32.3,32.46,14121214,2313
10-12-2004 0:00,2004,12,32.52,506.5,32.35,32.58,27713330,2314
09-12-2004 0:00,2004,12,31.38,506.5,31.04,32,26574334,2315
08-12-2004 0:00,2004,12,31.54,506.5,31.02,31.64,24923508,2316
07-12-2004 0:00,2004,12,32.96,506.5,31.28,31.44,37855536,2317
06-12-2004 0:00,2004,12,32.12,506.5,31.48,32.89,44595806,2318
03-12-2004 0:00,2004,12,32.28,506.5,30.88,31.34,44285530,2319
02-12-2004 0:00,2004,12,33.06,506.5,32.33,32.6,35339000,2320
01-12-2004 0:00,2004,12,33.9,506.5,33.14,33.9,28620300,2321
30-11-2004 0:00,2004,11,34.4,506.5,33.52,33.52,36783544,2322
29-11-2004 0:00,2004,11,34.5,506.5,33.7,34.22,61261028,2323
26-11-2004 0:00,2004,11,32.68,506.5,32.17,32.28,19652268,2324
